Inteligencia de Catálogo · Investigación individual supplier,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
Supplier,ADMA,,Notas de captura
Estado visible,Premium,,Datos capturados desde perfil visible y muestra inicial de catálogo. Este archivo es individual para ADMA. La hoja 01_Catalogo_visible contiene productos observados en pantallazos de catálogo; la hoja 02_Detalle_productos queda preparada para capturar detalle 1 a 1 de productos.
En Dropi desde,25/05/2020,,
Última conexión,Hoy,,
Productos visibles perfil,3086,,
Órdenes históricas,28881,,
Dropshippers,857,,
Tiempo despacho,5 h,,
Bodegas visibles,"Bogotá, Cali, Los Patios, Medellín",,
Calificación últimos 30 días,Óptima,,
Fecha captura,2026-05-28,,
,,,
Resumen por categoría final ajustada,,,
Categoría final ajustada en muestra,Cantidad,,
Hogar,28,,
Bienestar,17,,
Cocina,16,,
Belleza,12,,
Vehículos,12,,
Tecnología,7,,
Juguetería,5,,
Deportes,4,,
Otro,4,,
Bebé,3,,
Herramientas,3,,
Mascotas,3,,
Moda,1,,
Pendiente revisión,1,,
