#,ID producto,Nombre producto,SKU,Categorías visibles,Tipo producto,Precio proveedor,Precio sugerido,Diferencia precio,% diferencial,Stock público,Stock privado,Bodegas,Proveedor,Etiqueta,Cantidad imágenes visibles,Tiene descripción,Descripción excede screenshot,Tipo descripción visible,Beneficios visibles,Especificaciones visibles,Garantía visible,Recursos adicionales visibles,Texto genérico repetido,Observación cruda,Pantallazo fuente
1,308061,Cooler Gel,3160000,Bienestar,Simple,15000,54900,39900,2.66,269,0,"BOGOTA, CALI, LOS PATIOS (visible parcial)",ADMA,Premium,3,Sí,No,Específica producto,Sí,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,Características visibles. Especificación: capacidad 50ml.,Captura 2026-05-28 3.24.07 p.m.
2,276209,Tablero De Juego X 2,217400,Juguetería,Simple,54000,120900,66900,1.238888888888889,Agotado,0,"BOGOTA, CALI, LOS PATIOS (visible parcial)",ADMA,Premium,1,No,No,Sin descripción,No,No,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,No hay descripción disponible para este producto.,Captura 2026-05-28 3.24.02 p.m.
3,59520,Termo Inteligente,—,Hogar,Variable,37000,76900,39900,1.0783783783783785,15,0,"BOGOTA, CALI, LOS PATIOS (visible parcial)",ADMA,Premium,3,Sí,No,Específica producto,Sí,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,"Variantes visibles: Negro agotado; Rosado 5; Azul 5; Rojo 5. Tamaño aprox. 22 x 6,5 cm.",Captura 2026-05-28 3.23.57 p.m.
4,0B2477,Mascarilla De Colageno X5,23630001,Bienestar,Simple,12000,49000,37000,3.0833333333333335,969,0,"BOGOTA, CALI, LOS PATIOS (visible parcial)",ADMA,Premium,3,Sí,Sí,Específica producto con formato irregular visible,Sí,No visible,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,Descripción aparece como texto/JSON crudo visible en pantalla.,Captura 2026-05-28 3.23.51 p.m.
5,14138,Fuente De Mascotas Electrica Nc,4054000,Mascotas,Simple,55000,94900,39900,0.7254545454545455,1,0,"BOGOTA, CALI, LOS PATIOS (visible parcial)",ADMA,Premium,3,Sí,No,Específica producto,Sí,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,"Fuente de agua para mascota. Características y especificaciones visibles: color, material ABS, tamaño 18x19x17cm.",Captura 2026-05-28 3.23.46 p.m.
6,39608,Guante Resistente Al Calor,1042000,Cocina,Simple,25500,69900,44400,1.7411764705882353,5,0,"BOGOTA, CALI, LOS PATIOS (visible parcial)",ADMA,Premium,1,Sí,No,Específica producto,Sí,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,"Descripción visible con protección, usos, material, características y contenido: 1 unidad.",Captura 2026-05-28 3.23.34 p.m.
7,995520,Gafas De Lectura Sin Estuche,7134000,Bienestar,Simple,20000,59900,39900,1.995,20,0,"BOGOTA, CALI, LOS PATIOS (visible parcial)",ADMA,Premium,3,Sí,Sí,Específica producto,Sí,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,"Descripción visible con género, tipo, estilo, material, atributo óptico, color y características; texto continúa debajo del screenshot.",Captura 2026-05-28 3.23.30 p.m.
8,1835892,Par De Guantes Para Artritis L,408002811,Bienestar,Simple,20000,59900,39900,1.995,Agotado,0,"BOGOTA, CALI, LOS PATIOS (visible parcial)",ADMA,Premium,3,Sí,No,Específica producto,Sí,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,Descripción visible del producto con incluye y beneficios clave. Estado visible: agotado.,Captura 2026-05-28 3.23.10 p.m.
9,8461,Tijera Clever,1114000,Cocina,Simple,20230,69900,49670,2.4552644587246664,2,0,"BOGOTA, CALI, LOS PATIOS (visible parcial)",ADMA,Premium,4,Sí,No,Específica producto,Sí,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,"Descripción visible con características: cortes de alta precisión, botón de seguridad, resorte de presión, cuchillas en acero inoxidable, seguro para lavar en lavavajillas, diseño ergonómico.",Captura 2026-05-28 3.23.05 p.m.
10,6003,Dazzling,30220000,Belleza,Simple,12500,51900,39400,3.152,45,0,"BOGOTA, CALI, LOS PATIOS (visible parcial)",ADMA,Premium,3,Sí,Sí,Específica producto,Sí,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,"Producto de gel blanqueador dental. Descripción visible con características, explicación, ingredientes, especificaciones, sabor, eficacia, aplicable a adultos e instrucciones de uso. Texto continúa debajo del screenshot.",Captura 2026-05-28 3.23.00 p.m.
11,57764,Cepillo Limpiador Dental U,5032002,Bienestar,Variable,10000,49900,39900,3.99,1597,0,"BOGOTA, CALI, LOS PATIOS (visible parcial)",ADMA,Premium,4,Sí,Sí,Específica producto,Sí,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,"Producto variable. Variantes visibles: Edad 2-6/7-12 y colores Azul, Amarillo, Rosado. Existencias visibles por variante: 54, 460, 403, 276, 311 y 93. Descripción con características; texto continúa debajo del screenshot.",Captura 2026-05-28 3.22.54 p.m.
12,77289,Protector De Talon,9055000,Bienestar,Simple,20000,54900,34900,1.745,198,0,"BOGOTA, CALI, LOS PATIOS (visible parcial)",ADMA,Premium,4,Sí,No,Específica producto,Sí,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,"Descripción visible con materiales, uso, beneficios, detalles y talla única.",Captura 2026-05-28 3.22.48 p.m.
13,557450,Can Cold Light Rgb,6085000,Vehículos,Simple,58000,97900,39900,0.6879310344827586,143,0,"BOGOTA, CALI, LOS PATIOS (visible parcial)",ADMA,Premium,4,Sí,No,Específica producto,Sí,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,"Luz ambiente interior para coche con fibra óptica RGB. Descripción visible con control versátil, fibra óptica flexible/cortable, personalización, sincronización con música, brillo ajustable y paquete incluido: 1 cable EL de 2 metros.",Captura 2026-05-28 3.22.43 p.m.
14,No visible,Dropi Cupcinta Reparadora De Cuero,2408030,Hogar,Simple,6000,15000,9000,1.5,836,0,"BOGOTA, CALI, LOS PATIOS (visible parcial)",ADMA,Premium,3,Sí,Sí,Específica producto,Sí,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,"Cinta adhesiva de alta resistencia. Descripción visible con secciones: descripción del producto, especificaciones técnicas, características y ventajas. Texto continúa debajo del screenshot.",Captura 2026-05-28 3.22.38 p.m.
15,249020,Mini Rizador Air Cooler,No visible,Belleza,Variable,80000,119900,39900,0.49875,21,0,"BOGOTA, CALI, LOS PATIOS (visible parcial)",ADMA,Premium,5,Sí,No,Específica producto,Sí,No visible,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,"Producto variable. Variantes visibles: Color Rosado existencia 10 y Color Negro existencia 11. Descripción breve sobre rizador de cabello inalámbrico, función de reversa automática y reemplazo de rizadores tradicionales.",Captura 2026-05-28 3.22.30 p.m.
16,2115837,Rollo Lifting De Parpados,339000,Belleza,Simple,11000,30000,19000,1.7272727272727273,599,0,"BOGOTA, CALI, LOS PATIOS (visible parcial)",ADMA,Premium,3,Sí,Sí,Específica producto,Sí,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,"Cintas adhesivas para párpados. Descripción visible con secciones: identificación del producto, especificaciones de diseño y funcionalidad/beneficios. Texto continúa debajo del screenshot.",Captura 2026-05-28 3.22.24 p.m.
