Dato faltante,Estado,Comentario
Órdenes por producto,No disponible en revisión manual,Requiere BI / base de datos
GMV por producto,No disponible en revisión manual,Requiere BI / base de datos
Productos con 0 órdenes,No disponible en revisión manual,Requiere cruce catálogo + órdenes
Fecha de creación del producto,No disponible en pantalla,Requiere base de datos
Fecha de última actualización del producto,No disponible en pantalla,Requiere base de datos
Fecha de primera orden,No disponible en pantalla,Requiere base de datos
Stock histórico,No disponible en pantalla,Requiere histórico inventario
Rotación de inventario,No disponible en pantalla,Requiere ventas + stock histórico
Cancelaciones por producto,No disponible en pantalla,Requiere data operativa
Devoluciones / reclamos por producto,No disponible en pantalla,Requiere data operativa
Tiempo real de despacho por producto,No disponible en pantalla,Perfil muestra despacho general
Productos privados totales,No disponible desde catálogo,No visibles en revisión manual
Motivo de producto privado,No disponible,Requiere configuración interna
Visitas / clics por producto,No disponible,Requiere eventos de uso
Favoritos / guardados por dropshippers,No disponible,Requiere eventos de uso
Productos enviados a cliente,No disponible,Requiere eventos de uso
Solicitudes de muestra,No disponible,Requiere eventos transaccionales
Categoría real / subcategoría estructurada,Parcial,Solo se ve categoría visible en card
Marca estructurada,Parcial,No siempre visible
Margen real dropshipper,Parcial,Solo precio proveedor y sugerido visibles
Take rate / rentabilidad Dropi,No disponible,Requiere data financiera
