Campo,Definición
Productos visibles perfil,Número mostrado en el perfil del supplier
Órdenes históricas,Órdenes mostradas en el perfil del supplier
Dropshippers,Dropshippers mostrados en el perfil del supplier
Tiempo despacho,"Tiempo mostrado en perfil, no por producto"
Precio proveedor,Precio visible para dropshipper/proveedor en la card o detalle
Precio sugerido,Precio sugerido visible en card o detalle
Stock visible,Stock mostrado en card o detalle
Estado stock,Disponible si hay stock numérico; Agotado si aparece agotado; No legible si no se puede leer
Etiqueta,Premium/Exclusivo/otro badge visible
Tipo visible,Variable si aparece etiqueta variable; no visible si no aparece
Categoría visible,Categoría mostrada en card o detalle; puede ser incompleta
Pantallazo fuente,Nombre interno para rastrear de qué bloque salió el producto
