ADMA · Resumen de categorías interpretadas por nombre,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Categoría interpretada,Cantidad productos,% muestra,,Nota metodológica
Cocina,18,0.15517241379310345,,La columna 'Categoría interpretada por nombre' se infiere únicamente a partir del nombre del producto visible en el catálogo. No reemplaza la categoría real del sistema ni datos de BI.
Salud / Bienestar,16,0.13793103448275862,,Confianza Alta: nombre suficientemente descriptivo. Media: requiere validación visual/detalle. Baja: nombre ambiguo o insuficiente.
Belleza,13,0.11206896551724138,,
Vehículos,10,0.08620689655172414,,
Tecnología,9,0.07758620689655173,,
Hogar / Organización,6,0.05172413793103448,,
Juguetería,6,0.05172413793103448,,
Herramientas,5,0.04310344827586207,,
Hogar,5,0.04310344827586207,,
Hogar / Iluminación,5,0.04310344827586207,,
Bebé / Infantil,4,0.034482758620689655,,
Deportes,4,0.034482758620689655,,
Mascotas,3,0.02586206896551724,,
Hogar / Jardín,2,0.017241379310344827,,
Hogar / Limpieza,2,0.017241379310344827,,
Moda / Ropa íntima,2,0.017241379310344827,,
Hogar / Mantenimiento,1,0.008620689655172414,,
Hogar / Muebles,1,0.008620689655172414,,
Moda / Accesorios,1,0.008620689655172414,,
No determinable por nombre,1,0.008620689655172414,,
Papelería / Arte,1,0.008620689655172414,,
Viajes / Accesorios,1,0.008620689655172414,,
