Categoría final ajustada,Productos,% muestra,Disponibles,Agotados,No categorizados en captura o agotados,Inferidos por nombre,Unnamed: 7,Resumen de ajuste de categorías ADMA,Unnamed: 9
Hogar,28,0.2413793103448276,26,2,6,4,,Total productos en muestra,116.0
Bienestar,17,0.14655172413793102,13,4,5,4,,Categorías indicadas por Jaime,80.0
Cocina,16,0.13793103448275862,12,4,9,6,,Categorías inferidas por nombre,28.0
Belleza,12,0.10344827586206896,9,3,4,3,,Requieren revisión manual,1.0
Vehículos,12,0.10344827586206896,9,3,2,1,,Productos con categoría visible 'Agotado',9.0
Tecnología,7,0.0603448275862069,5,2,2,2,,Productos no categorizados en captura,28.0
Juguetería,5,0.04310344827586207,5,0,1,1,,,
Deportes,4,0.034482758620689655,3,1,0,0,,,
Otro,4,0.034482758620689655,4,0,1,1,,,
Bebé,3,0.02586206896551724,3,0,1,1,,,
Herramientas,3,0.02586206896551724,3,0,1,1,,,
Mascotas,3,0.02586206896551724,3,0,3,3,,,
Moda,1,0.008620689655172414,1,0,0,0,,,
Pendiente revisión,1,0.008620689655172414,1,0,1,1,,,
