Campo,Valor,,Resumen muestra catálogo,
Supplier,Stockeado + Andrey Business,,Categoría final,Productos en muestra
Alias / referencia,Andrey Rojas,,Hogar,22
Estado visible,Exclusivo,,Bienestar,14
En Dropi desde,04/07/2023,,Belleza,12
Última conexión visible,23/05/2026,,Bisutería,11
Productos visibles en perfil,529,,Herramientas,11
Órdenes históricas,13575,,Vehículos,10
Dropshippers,2047,,Moda,8
Tiempo de despacho,6 h,,Cocina,4
Bodegas visibles,"Cali, Yumbo",,Deportes,3
Calificación últimos 30 días,Estable,,Juguetería,3
Despachos,Envía rápido y sin demoras,,Tecnología,3
Cumplimiento,Pocos rechazos y cancelaciones,,Mascotas,2
Postventa,Más reclamos de lo habitual,,Otro,2
Decisión metodológica,VITALCOM excluido del benchmark principal por ser marca; continuar benchmark con Andrey Rojas.,,Bebé,1
Fecha de captura,2026-05-28,,Camping,1
Detalle productos registrados,16,,,
