N°,Producto visible,Categoría visible,Categoría final,Subcategoría interpretada,Stock visible,Estado stock,Precio proveedor,Precio sugerido,Tipo visible,Etiqueta,Proveedor visible,Fuente screenshot,Notas crudas,Diferencia precio,% markup sobre proveedor,Registro válido para análisis
1,Cinturon Vibratorio,Salud,Bienestar,Masaje / fitness,884,Disponible,49900,69900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,20000,0.40080160320641284,Sí
2,Brakerpro,Otro,Otro,Accesorio / no claro,9,Disponible,27900,39900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,12000,0.43010752688172044,Sí
3,Plantillas Unas X144,Belleza,Belleza,Uñas,5,Disponible,10900,30900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,20000,1.834862385321101,Sí
4,Arete Cristal,Bisutería,Bisutería,Aretes,14,Disponible,10900,22900,Variable,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,12000,1.1009174311926606,Sí
5,Multimetro Digital Inteligente,Herramientas,Herramientas,Medición eléctrica,12,Disponible,55900,89900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,34000,0.6082289803220036,Sí
6,Cepillo Alisador One Step 3 En 1,Tecnología,Belleza,Cabello / alisador,253,Disponible,34900,49900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,15000,0.4297994269340974,Sí
7,Puntas Inyectoras De Engrase,Herramientas,Herramientas,Accesorio técnico,9,Disponible,15900,35900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,20000,1.2578616352201257,Sí
8,Conectores De Soldadura X 100 Unds,Otro,Herramientas,Soldadura,7,Disponible,29900,49900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,20000,0.6688963210702341,Sí
9,Lampara Creativa Tablero Led De Notas,Moda,Hogar,Decoración / lámpara,85,Disponible,17900,47900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,30000,1.675977653631285,Sí
10,Cortador De Verduras,Cocina,Cocina,Utensilio,139,Disponible,26900,58900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,32000,1.1895910780669146,Sí
11,Pendientes Estilo Frances,Bisutería,Bisutería,Pendientes,53,Disponible,11900,29900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,18000,1.5126050420168067,Sí
12,Set 4 Botellas De Viaje,Cocina,Hogar,Viaje / recipientes,49,Disponible,14900,34900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,20000,1.342281879194631,Sí
13,Parches Para El Alivio Del Dolor,Salud,Bienestar,Parches alivio,3034,Disponible,9900,19900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,10000,1.0101010101010102,Sí
14,Extension Scrunchie,Moda,Moda,Cabello / extensión,36,Disponible,16900,,Variable,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,Precio sugerido variable/no visible,,,Sí
15,Base De Maquillaje En Barra Zepcho,Belleza,Belleza,Maquillaje,196,Disponible,21900,39900,Variable,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,18000,0.821917808219178,Sí
16,Spray Gengpa Para Crecer El Pelo,Moda,Belleza,Cabello,508,Disponible,10900,40900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,30000,2.7522935779816513,Sí
17,Estanteria De Lavadora,Hogar,Hogar,Organizador,59,Disponible,69900,99900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,30000,0.4291845493562232,Sí
18,Levantador De Muebles,Hogar,Hogar,Herramienta doméstica,40,Disponible,25900,55900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,30000,1.1583011583011582,Sí
19,Ventilador Deplegable Para Mesa,Cocina,Tecnología,Ventilador,240,Disponible,24900,44900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,20000,0.8032128514056225,Sí
20,Tablero 3d Magico Pizarra,Bebé,Juguetería,Pizarra / dibujo,31,Disponible,19900,39900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,20000,1.0050251256281406,Sí
21,Autorele,Vehículos,Vehículos,Accesorio vehículo,26,Disponible,39900,52900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,13000,0.3258145363408521,Sí
22,Organizador Zapatero Ajustable,Hogar,Hogar,Organizador,3000,Disponible,9900,39900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,30000,3.0303030303030303,Sí
23,Plumas De Bordado,Hogar,Hogar,Manualidades,12,Disponible,20900,40900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,20000,0.9569377990430622,Sí
24,Pendiente Abejas,Bisutería,Bisutería,Pendientes,133,Disponible,10900,29900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,19000,1.7431192660550459,Sí
25,Camping Bellhowll Linterna Led X22,Camping,Camping,Linterna,146,Disponible,19900,69900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,50000,2.512562814070352,Sí
26,Pest Reject Repelente De Plagas,Hogar,Hogar,Control plagas,506,Disponible,26900,58500,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,,31600,1.174721189591078,Sí
27,Filtro Para Agua,Cocina,Cocina,Filtro,,Visible sin stock capturado,9900,12900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_1,Stock no legible en screenshot,3000,0.30303030303030304,Sí
28,Base Moisture Cushion,Belleza,Belleza,Maquillaje,1834,Disponible,15900,29900,Variable,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_2,,14000,0.8805031446540881,Sí
29,Estanteria De Microonda,Hogar,Hogar,Organizador,104,Disponible,48900,68900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_2,,20000,0.40899795501022496,Sí
30,Accesorio Tubo Escape Coche,Vehículos,Vehículos,Accesorio vehículo,7872,Disponible,9500,,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_2,Precio sugerido no legible,,,Sí
31,Kit Removedor De Correas,Herramientas,Herramientas,Automotriz / correas,130,Disponible,10900,30900,No visible,Exclusivo,STOCKEADO + ANDREY BUSINESS,catalogo_2,,20000,1.834862385321101,Sí
