Campo,Definición
Categoría visible,Categoría que aparece en la card del producto cuando es legible.
Categoría final,Categoría ajustada con base en nombre del producto y/o categoría visible.
Stock visible,Stock mostrado en la card del producto.
Estado stock,"Disponible, Agotado o visible sin stock capturado."
Tipo visible,Variable si aparece etiqueta variable; no visible cuando no se observa.
Precio proveedor,Precio proveedor visible en la card.
Precio sugerido,Precio sugerido visible en la card.
Diferencia precio,Fórmula: precio sugerido - precio proveedor.
% markup sobre proveedor,Fórmula: diferencia precio / precio proveedor.
Fuente screenshot,Bloque de pantallazo del que se extrajo el dato.
