Investigación Inteligencia de Catálogo · GOLDBOX,,,,,,,
Campo,Valor visible / registrado,Fuente,,,,,
Supplier,GOLDBOX,Pantallazo perfil,,,,,
En Dropi desde,20/04/2024,Pantallazo perfil,,,,,
Últ. conexión,Hoy,Pantallazo perfil,,,,,
Productos visibles en perfil,620,Pantallazo perfil,,,,,
Cantidad productos base enviada,627,Lista manual enviada por Jaime,,,,,
Órdenes,668159,Pantallazo perfil,,,,,
Dropshippers,4683,Pantallazo perfil,,,,,
T. despacho,5 h,Pantallazo perfil,,,,,
Bodega visible,Bogotá / BOGOTA,Pantallazo perfil y detalle producto,,,,,
Calificación últimos 30 días,"Óptima: Envía rápido, cumple y responde bien.",Pantallazo perfil,,,,,
Despachos,Envía rápido y sin demoras,Pantallazo perfil,,,,,
Cumplimiento,Pocos rechazos y cancelaciones,Pantallazo perfil,,,,,
Postventa,Muy pocos reclamos y atención rápida,Pantallazo perfil,,,,,
Categorías visibles en catálogo general,Belleza; Salud; Hogar; Mascotas,Pantallazos catálogo visible,,,,,
Fecha de última actualización del archivo,2026-05-28 18:53,Sistema,,,,,
Productos detalle analizados,7,Hoja 01_Detalle_productos,,,,,
