#,ID producto,Nombre producto,SKU,Categoría,Tipo producto,Precio proveedor,Precio sugerido,Diferencia precio,% diferencia,Stock público,Stock privado,Disponible en,Bodega,Proveedor,Etiqueta,Imágenes visibles,Tiene descripción,Descripción excede screenshot,Scroll requerido,Tipo descripción visible,Beneficios visibles,Modo de uso visible,Especificaciones visibles,Garantías,Recursos adicionales,Texto genérico repetido,Observación cruda,Fuente pantallazo
1,1976411,Lemme Burn,1,Belleza,Simple,18000,30000,12000,0.6666666666666666,17664,0,Bogota,BOGOTA,GOLDBOX,Premium,3,Sí,Sí,Sí,Genérica proveedor + garantías,No visible en screenshot,No visible en screenshot,No visible en screenshot,Sí,"Pestaña visible, no abierta",Sí,Texto visible: Precio exclusivo comunidad; descuentos; producto genérico; devoluciones y garantías.,Captura 2026-05-28 11.08.20
2,793971,7 Days Nails Endurecedor De Unas 2,01,Belleza,Simple,12000,29900,17900,1.4916666666666667,56088,0,Bogota,BOGOTA,GOLDBOX,Premium,3,Sí,Sí,Sí,Genérica proveedor + específica producto,Sí,No visible en screenshot,Contenido: 2 unidades,"Pestaña visible, no abierta","Pestaña visible, no abierta",Sí,Texto visible: 7 DAYS NAILS - ENDURECEDOR DE UÑAS; contenido 2 unidades; crecimiento acelerado 10 días.,Captura 2026-05-28 11.08.10
3,159422,Magnesium Complex X 2,01,Belleza,Simple,36000,59900,23900,0.6638888888888889,55277,0,Bogota,BOGOTA,GOLDBOX,Premium,3,Sí,Sí,Sí,Genérica proveedor + específica producto,Sí,No visible en screenshot,Contenido: 90 cápsulas,"Pestaña visible, no abierta","Pestaña visible, no abierta",Sí,Texto visible: Precio exclusivo comunidad 16.000; descuentos; MAGNESIUM COMPLEX; Contenido: 90 cápsulas; RECUPERA TU ENERGIA Y REFUERZA TU CUERPO.,Captura 2026-05-28 11.08.05
4,1929832,Nad Resveratrol,1,Belleza,Simple,23000,30000,7000,0.30434782608695654,34117,0,Bogota,BOGOTA,GOLDBOX,Premium,1,No,No,No,Sin descripción,No,No,No,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,Texto visible: No hay descripción disponible para este producto.,Captura 2026-05-28 11.07.45
5,2161722,Soft Serve Serum Truly Dropi Cup,1,Belleza,Simple,12000,20000,8000,0.6666666666666666,23222,0,Bogota,BOGOTA,GOLDBOX,Premium,3,Sí,Sí,Sí,Genérica proveedor + específica producto,Sí,No visible en screenshot,No visible en screenshot,"Pestaña visible, no abierta","Pestaña visible, no abierta",Sí,"Texto visible: Precio exclusivo comunidad 10.000; SOFT SERVE SERUM TRULY - REFRESCA, CALMA Y RENUEVA TU PIEL; fórmula ligera; composición hidrosoluble.",Captura 2026-05-28 11.07.50
6,2138336,Lutein Zeaxanthin Gummies,1,Belleza,Simple,23000,30000,7000,0.30434782608695654,34261,0,Bogota,BOGOTA,GOLDBOX,Premium,3,Sí,No,No,Genérica proveedor,No visible en screenshot,No visible en screenshot,No visible en screenshot,"Pestaña visible, no abierta","Pestaña visible, no abierta",Sí,Texto visible: Precio exclusivo comunidad 20.000; ajustes de precios al público general; descuentos especiales; precios preferenciales exclusivos; condiciones diferenciales frente al público general.,Captura 2026-05-28 11.07.35
7,735510,Tag Recede Eliminador De Verrugas,1,Belleza,Simple,9000,18500,9500,1.0555555555555556,5123,0,Bogota,BOGOTA,GOLDBOX,Premium,3,Sí,Sí,Sí,Genérica proveedor + específica producto,Sí,No visible en screenshot,Contenido neto: 60ml,"Pestaña visible, no abierta","Pestaña visible, no abierta",Sí,Texto visible: Precio exclusivo comunidad 7.500; TAG RECEDE- ELIMINADOR DE VERRUGAS; Contenido neto: 60ml; Recupera la confianza en tu piel; imagen en descripción visible.,Captura 2026-05-28 11.07.30
8,838416,Chupa Saca Golpes Quita Abolladuras 2,01,Hogar,Simple,9500,29990,20490,2.156842105263158,930,0,Bogota,BOGOTA,GOLDBOX,Premium,1,Sí,Sí,Sí,Específica producto,Sí,No visible en screenshot,2 unidades,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,"Texto visible: 2 unidades; descripción de uso para abolladuras, pantallas de teléfonos, vidrios, cerámicas, espejos, puertas con superficies lisas; imágenes visibles dentro de la descripción.",Captura 2026-05-28 11.06.37
9,2152926,Virex Capsula,1,Belleza,Simple,20000,30000,10000,0.5,34322,0,Bogota,BOGOTA,GOLDBOX,Premium,3,Sí,No,No,Genérica proveedor,No visible en screenshot,No visible en screenshot,No visible en screenshot,"Pestaña visible, no abierta","Pestaña visible, no abierta",Sí,Texto visible: Precio exclusivo comunidad 18.000; ajustes de precios al público general; descuentos especiales; precios preferenciales exclusivos; condiciones diferenciales frente al público general; contacto +57 3103217338.,Captura 2026-05-28 11.06.23
10,1728002,Iron Seal Reparacion Color Negro,01,Hogar,Simple,15000,30000,15000,1,34684,0,Bogota,BOGOTA,GOLDBOX,Premium,3,Sí,Sí,Sí,Genérica proveedor + específica producto,Sí,No visible en screenshot,Base acuosa y ecológico,"Pestaña visible, no abierta","Pestaña visible, no abierta",Sí,"Texto visible: Precio exclusivo comunidad 12.500; IRON SEAL - PODER ANTIOXIDANTE QUE TRANSFORMA EL METAL; óxido, manchas o metal envejecido; sellante y convertidor de óxido base acuosa y ecológico.",Captura 2026-05-28 13.56.12
