Campo,Definición,Valores esperados / ejemplo
Stock público,Stock visible para el producto en la vista de detalle.,Número
Stock privado,Stock privado visible en la vista de detalle.,Número
Imágenes visibles,Cantidad de miniaturas visibles en el carrusel del producto.,Número
Tiene descripción,Indica si hay contenido visible en la pestaña Detalles.,Sí / No
Descripción excede screenshot,Indica si el contenido continúa más allá del pantallazo visible.,Sí / No
Scroll requerido,Indica si para capturar toda la descripción se requiere desplazamiento vertical.,Sí / No
Tipo descripción visible,Tipo de contenido observado en la descripción visible.,Específica producto / Genérica proveedor / Garantías / Mixta / Sin descripción
Beneficios visibles,Indica si se observan beneficios del producto en el screenshot.,Sí / No / No visible en screenshot
Modo de uso visible,Indica si se observan instrucciones o modo de uso.,Sí / No / No visible en screenshot
Especificaciones visibles,"Datos como contenido neto, unidades, material, medidas, composición u otros.",Texto libre
Garantías,Estado de visibilidad de información de garantías.,"Sí / No / Pestaña visible, no abierta"
Recursos adicionales,Estado de visibilidad de información adicional.,"Sí / No / Pestaña visible, no abierta"
Texto genérico repetido,Indica si aparece texto repetido del proveedor o de políticas generales.,Sí / No
Observación cruda,Campo libre para registrar texto visible sin interpretación.,Texto libre
