Levantamiento proveedor - OH HOMIE / NAYIVER Hincapié,,,,
,,,,
Campo,Dato visible,Fuente,Estado,Notas
Proveedor,OH HOMIE,Pantallazo perfil proveedor,Capturado,
Responsable / dueño visible,NAYIVER Hincapié,Mensaje usuario,Capturado,
Tipo visible,Exclusivo,Pantallazo perfil proveedor,Capturado,
En Dropi desde,10/01/2024,Pantallazo perfil proveedor,Capturado,
Última conexión,Hoy,Pantallazo perfil proveedor,Capturado,
Productos reportados,1788,Pantallazo perfil proveedor,Capturado,
Órdenes históricas,231781,Pantallazo perfil proveedor,Capturado,
Dropshippers,5501,Pantallazo perfil proveedor,Capturado,
Tiempo despacho,5 h,Pantallazo perfil proveedor,Capturado,
Bodegas visibles,Bogotá,Pantallazo perfil proveedor,Capturado,
Calificación últimos 30 días,Óptima,Pantallazo perfil proveedor,Capturado,
Despachos,Envía rápido y sin demoras,Pantallazo perfil proveedor,Capturado,
Cumplimiento,Pocos rechazos y cancelaciones,Pantallazo perfil proveedor,Capturado,
Postventa,Muy pocos reclamos y atención rápida,Pantallazo perfil proveedor,Capturado,
Observación de método,Levantamiento manual por pantallazos del feed y detalle de producto,Conversación,Capturado,
,,,,
Métrica derivada,Fórmula,,,
Órdenes por producto,129.6314317673378,,,
Órdenes por dropshipper,42.134339211052534,,,
Dropshippers por producto,3.0766219239373602,,,
