ID fila,Producto visible,Categoría visible/inferida,Proveedor,Stock visible,Precio proveedor,Precio sugerido,Margen valor,Margen %,Estado visible,Tipo/etiqueta visible,Bodega visible,Fuente,Notas crudas
1,Combo Org Maquillaje Espejo Bolsa Maqui,Belleza,OH HOMIE,200,82000,105000,23000,0.21904761904761905,Activo,Exclusivo / Variable,Bogotá,Feed visible,
2,Dispensador De Aceite Ph 676,Cocina,OH HOMIE,270,12000,28000,16000,0.5714285714285714,Activo,Exclusivo,Bogotá,Feed visible,
3,Depilador De Cera Caliente Con Roll on,Belleza,OH HOMIE,297,20000,40000,20000,0.5,Activo,Exclusivo,Bogotá,Feed visible,
4,Kit De Manicure 16 Pcs,Belleza,OH HOMIE,310,11000,19000,8000,0.42105263157894735,Activo,Exclusivo,Bogotá,Feed visible,
5,Lonchera Termica Para 2 Tazas Con Cubiert,Cocina,OH HOMIE,275,25000,40000,15000,0.375,Activo,Exclusivo,Bogotá,Feed visible,
6,Tensiometro Brazo Marca Jziki,Salud,OH HOMIE,293,34000,50000,16000,0.32,Activo,Exclusivo,Bogotá,Feed visible,
7,Closet De Lujo 1 Cuerpo,Hogar,OH HOMIE,300,42500,57500,15000,0.2608695652173913,Activo,Exclusivo,Bogotá,Feed visible,
8,Cojin Protector Cabeza Bebe,Bebé,OH HOMIE,364,33000,78000,45000,0.5769230769230769,Activo,Exclusivo / Variable,Bogotá,Feed visible,
9,Papeles Para Freidora De Aire,Cocina,OH HOMIE,297,12000,22000,10000,0.45454545454545453,Activo,Exclusivo,Bogotá,Feed visible,
10,Interruptor Inteligente Alexa Doble Jg3,Tecnología,OH HOMIE,400,43750,57000,13250,0.2324561403508772,Activo,Exclusivo,Bogotá,Feed visible,
11,Armario Ropero Multifuncion Tela Pd35,Hogar,OH HOMIE,322,95000,130000,35000,0.2692307692307692,Activo,Exclusivo,Bogotá,Feed visible,
12,Soporte Para Bebe Transparente,Bebé,OH HOMIE,287,16000,32000,16000,0.5,Activo,Exclusivo,Bogotá,Feed visible,
13,Saca Golpes,Otro,OH HOMIE,298,6000,26000,20000,0.7692307692307693,Activo,Exclusivo,Bogotá,Feed visible,
14,Quita Pelusa Electrico,Aseo,OH HOMIE,293,18000,28000,10000,0.35714285714285715,Activo,Exclusivo,Bogotá,Feed visible,
15,Combo Rueda Abdominal Set Bandas Tubu,Salud,OH HOMIE,301,54000,70000,16000,0.22857142857142856,Activo,Exclusivo,Bogotá,Feed visible,
16,Combo Mini Gps Rastremi Camara Inalam,Tecnología,OH HOMIE,300,44000,64000,20000,0.3125,Activo,Exclusivo,Bogotá,Feed visible,
17,Juego De Ollas X 13 Piezas,Cocina,OH HOMIE,43,49000,65000,16000,0.24615384615384617,Activo,Exclusivo,Bogotá,Feed visible,
18,Estante De Bano Inodoro,Hogar,OH HOMIE,200,46000,80000,34000,0.425,Activo,Exclusivo,Bogotá,Feed visible,
19,Molino De Cafe Y Granos,Cocina,OH HOMIE,120,20000,40000,20000,0.5,Activo,Exclusivo,Bogotá,Feed visible,
20,Medidor De Liquidos Con Pantalla Digital,Cocina,OH HOMIE,300,33750,43000,9250,0.21511627906976744,Activo,Exclusivo,Bogotá,Feed visible,
21,Armario Plastico,Hogar,OH HOMIE,244,65000,80000,15000,0.1875,Activo,Exclusivo,Bogotá,Feed visible,
22,Ventilador Con Luz y Control Fsytr260,Hogar,OH HOMIE,36,31000,50000,19000,0.38,Activo,Exclusivo,Bogotá,Feed visible,
23,Bolso Viaje Enrollable,Otro,OH HOMIE,221,40000,58000,18000,0.3103448275862069,Activo,Exclusivo,Bogotá,Feed visible,
24,Batidora Skarlett066gramera,Cocina,OH HOMIE,219,98500,120000,21500,0.17916666666666667,Activo,Exclusivo,Bogotá,Feed visible,
25,Alisador De Pelo Portatil,Belleza,OH HOMIE,212,13000,37000,24000,0.6486486486486487,Activo,Exclusivo,Bogotá,Feed visible,
26,Cafetera Expreso 12 Tazas,Cocina,OH HOMIE,197,49750,65000,15250,0.23461538461538461,Activo,Exclusivo,Bogotá,Feed visible,
27,Reloj 3d Mariposas,Hogar,OH HOMIE,248,25000,40000,15000,0.375,Activo,Exclusivo,Bogotá,Feed visible,
28,Banda Elasticas Para Estiramiento Pd12,Deportes,OH HOMIE,149,10000,25000,15000,0.6,Activo,Exclusivo,Bogotá,Feed visible,
29,Polvo Blanqueador De Dientes,Belleza,OH HOMIE,294,12500,27500,15000,0.5454545454545454,Activo,Exclusivo,Bogotá,Feed visible,
30,Combo Armario Tela Organz Perchero,Hogar,OH HOMIE,537,75000,100000,25000,0.25,Activo,Exclusivo / Variable,Bogotá,Feed visible,
31,Mascara Cargador De Mascota Cepillo Vap Gratis,Mascotas,OH HOMIE,299,28000,55000,27000,0.4909090909090909,Activo,Exclusivo,Bogotá,Feed visible,
32,Juego De Cubiertos Huevo,Cocina,OH HOMIE,324,84000,130000,46000,0.35384615384615387,Activo,Exclusivo / Variable,Bogotá,Feed visible,
33,Lampara De Escritorio Ajustable,Hogar,OH HOMIE,281,40000,50000,10000,0.2,Activo,Exclusivo,Bogotá,Feed visible,
34,Combo Bols Cargro Audifonos M27,Tecnología,OH HOMIE,557,50000,78000,28000,0.358974358974359,Activo,Exclusivo / Variable,Bogotá,Feed visible,
35,Cabeza De Martillo Magnetica,Otro,OH HOMIE,98,19000,36000,17000,0.4722222222222222,Activo,Exclusivo,Bogotá,Feed visible,
36,Molino De Cafe Y Granos Cafetera,Cocina,OH HOMIE,682,46500,69500,23000,0.33093525179856115,Activo,Exclusivo / Variable,Bogotá,Feed visible,
37,Sensor De Humo 11711,Tecnología,OH HOMIE,300,43750,55000,11250,0.20454545454545456,Activo,Exclusivo,Bogotá,Feed visible,
38,Canguro Multifuncion,Moda,OH HOMIE,300,35000,50000,15000,0.3,Activo,Exclusivo,Bogotá,Feed visible,
39,Proyector Hy300 Magis,Tecnología,OH HOMIE,295,16250,16000,-250,-0.015625,Activo,Exclusivo,Bogotá,Feed visible,Precio sugerido visible dudoso por recorte
40,Maquina Portatil Quita Pelusas De Ropa,Hogar,OH HOMIE,392,15000,28000,13000,0.4642857142857143,Activo,Exclusivo,Bogotá,Feed visible,
41,Combo Organizacion,Hogar,OH HOMIE,73,93000,120000,27000,0.225,Activo,Exclusivo / Variable,Bogotá,Feed visible,
42,Organizador De Maquillaje Con Cajon,Hogar,OH HOMIE,288,23750,36500,12750,0.3493150684931507,Activo,Exclusivo,Bogotá,Feed visible,
43,Bolso Peluche Stitch,Moda,OH HOMIE,298,32500,52000,19500,0.375,Activo,Exclusivo,Bogotá,Feed visible,
44,Estanteria Lavandero O Bano Con Puerta,Hogar,OH HOMIE,3,44000,59000,15000,0.2542372881355932,Activo,Exclusivo,Bogotá,Feed visible,
45,Jarra Dispensadora De Alimentos,Cocina,OH HOMIE,250,43750,43750,0,0,Activo,Exclusivo,Bogotá,Feed visible,
46,Espejo Retrovisor Ajustable,Vehículos,OH HOMIE,295,37500,57000,19500,0.34210526315789475,Activo,Exclusivo,Bogotá,Feed visible,
47,Lampara Alcancia D2020515,Hogar,OH HOMIE,300,32000,95000,63000,0.6631578947368421,Activo,Exclusivo,Bogotá,Feed visible,
48,Lampara Solar De 3 Cabezas 192 Led,Hogar,OH HOMIE,262,50000,70000,20000,0.2857142857142857,Activo,Exclusivo,Bogotá,Feed visible,
49,Ventilador Recargable 5 Puertos Usb,Tecnología,OH HOMIE,399,27500,42000,14500,0.34523809523809523,Activo,Exclusivo,Bogotá,Feed visible,
50,Camping Para 4 Personas Dt045,Camping,OH HOMIE,295,66000,100000,34000,0.34,Activo,Exclusivo,Bogotá,Feed visible,
51,Tensiometro Con Voz Espanol,Salud,OH HOMIE,297,74400,84400,10000,0.11848341232227488,Activo,Exclusivo,Bogotá,Feed visible,
52,Lampara Solar C115,Hogar,OH HOMIE,40,55000,85000,30000,0.35294117647058826,Activo,Exclusivo,Bogotá,Feed visible,
53,Set Manicure Salonsharp Pd37,Belleza,OH HOMIE,300,18000,38000,20000,0.5263157894736842,Activo,Exclusivo,Bogotá,Feed visible,
54,Molino Picador Electrico Obsequio,Cocina,OH HOMIE,198,47000,53000,6000,0.11320754716981132,Activo,Exclusivo,Bogotá,Feed visible,
55,Molde Reposteria X3 Black Day,Cocina,OH HOMIE,240,33500,42000,8500,0.20238095238095238,Activo,Exclusivo,Bogotá,Feed visible,
56,Bolsa Organizadora 180l,Hogar,OH HOMIE,174,18000,36000,18000,0.5,Activo,Exclusivo,Bogotá,Feed visible,
57,Zapatero Plegable 6 Niveles,Hogar,OH HOMIE,239,78000,100000,22000,0.22,Activo,Exclusivo,Bogotá,Feed visible,
58,Combo Ejercitadorpelvicom,Salud,OH HOMIE,298,25300,40300,15000,0.37220843672456577,Activo,Exclusivo,Bogotá,Feed visible,
59,Juego Herramienta 46 Piezas,Herramientas,OH HOMIE,295,26000,52000,26000,0.5,Activo,Exclusivo,Bogotá,Feed visible,
60,Malla De Seguridad Para Mascotas Y Bebes,Mascotas,OH HOMIE,352,16000,30000,14000,0.4666666666666667,Activo,Exclusivo,Bogotá,Feed visible,
61,Comboinfant Smartwatchemboxau,Moda,OH HOMIE,1481,95000,115000,20000,0.17391304347826086,Activo,Exclusivo / Variable,Bogotá,Feed visible,
62,Colageno Mascarilla Vitamina C Concentra,Belleza,OH HOMIE,292,13000,28000,15000,0.5357142857142857,Activo,Exclusivo,Bogotá,Feed visible,
63,Espejo Con Luz Led,Belleza,OH HOMIE,199,22000,30000,8000,0.26666666666666666,Activo,Exclusivo,Bogotá,Feed visible,
64,Fundidora De Chocolate Doble Pd72,Cocina,OH HOMIE,247,65000,89900,24900,0.27697441601779754,Activo,Exclusivo,Bogotá,Feed visible,
65,Combo Reloj T500 Canguroaudifonos M10,Tecnología,OH HOMIE,162,58000,,,,Activo,Exclusivo / Variable,Bogotá,Feed visible,Precio sugerido no visible completo
66,Plancha Keratin Y Aceite De Argan,Belleza,OH HOMIE,268,56250,78000,21750,0.27884615384615385,Activo,Exclusivo,Bogotá,Feed visible,
67,Depiladora Electrica Recargable 4 En 1,Belleza,OH HOMIE,300,30000,45000,15000,0.3333333333333333,Activo,Exclusivo,Bogotá,Feed visible,
68,Maquina De Ejercicios Multifuncional,Deportes,OH HOMIE,298,112500,130000,17500,0.1346153846153846,Activo,Exclusivo,Bogotá,Feed visible,
69,Combo Fajamasajeadorparche,Belleza,OH HOMIE,384,29000,60000,31000,0.5166666666666667,Activo,Exclusivo / Variable,Bogotá,Feed visible,
70,Cargador De Mascotas Para Silla De Carro,Mascotas,OH HOMIE,501,20000,28000,8000,0.2857142857142857,Activo,Exclusivo,Bogotá,Feed visible,
71,Interruptor Inteligente,Otro,OH HOMIE,30,43750,63000,19250,0.3055555555555556,Activo,Exclusivo,Bogotá,Feed visible,
72,Camara Kids Con Impresora M2,Tecnología,OH HOMIE,300,105000,140000,35000,0.25,Activo,Exclusivo,Bogotá,Feed visible,
73,Cubre Sofa 1 Puesto,Mascotas,OH HOMIE,2,18000,28000,10000,0.35714285714285715,Activo,Exclusivo,Bogotá,Feed visible,
74,Portabebes Ergonomico,Bebé,OH HOMIE,150,75000,90000,15000,0.16666666666666666,Activo,Exclusivo,Bogotá,Feed visible,
75,Conjunto 10 Piezas Cortador Cocina,Cocina,OH HOMIE,148,29000,53000,24000,0.4528301886792453,Activo,Exclusivo,Bogotá,Feed visible,
76,Bolso Grande Expandible Deportivo Viaje,Ropa Deportiva,OH HOMIE,180,23000,,,,Activo,Exclusivo / Variable,Bogotá,Feed visible,Precio sugerido no visible completo
77,Lampara Led Angel,Hogar,OH HOMIE,300,43750,63000,19250,0.3055555555555556,Activo,Exclusivo,Bogotá,Feed visible,
78,Audifonos Amplificador De Sonido,Salud,OH HOMIE,337,11000,25000,14000,0.56,Activo,Exclusivo,Bogotá,Feed visible,
79,Pistola De Burbujas Electrica Kb112,Juguetería,OH HOMIE,8,23000,45000,22000,0.4888888888888889,Activo,Exclusivo,Bogotá,Feed visible,
80,Organizador De Bano Estante De Bano,Hogar,OH HOMIE,18,42700,65000,22300,0.34307692307692306,Activo,Exclusivo,Bogotá,Feed visible,
81,Maquina De Hacer Pasta,Cocina,OH HOMIE,251,147500,187000,39500,0.21122994652406418,Activo,Exclusivo,Bogotá,Feed visible,
82,Combo Estuche Para Viajes Kit Envases,Hogar,OH HOMIE,70,17000,28000,11000,0.39285714285714285,Activo,Exclusivo,Bogotá,Feed visible,
83,Tendedero 2 Niveles,Hogar,OH HOMIE,100,43000,60000,17000,0.2833333333333333,Activo,Exclusivo,Bogotá,Feed visible,
84,Control Remoto Multifuncional,Tecnología,OH HOMIE,296,20000,40000,20000,0.5,Activo,Exclusivo,Bogotá,Feed visible,
85,Kit De Limpieza Electrico Para Biberones,Bebé,OH HOMIE,299,43750,58750,15000,0.2553191489361702,Activo,Exclusivo,Bogotá,Feed visible,
86,Saco De Boxeo Cz40,Deportes,OH HOMIE,266,87000,100000,13000,0.13,Activo,Exclusivo,Bogotá,Feed visible,
87,Masajeador Cuello X3,Salud,OH HOMIE,662,21000,30000,9000,0.3,Activo,Exclusivo,Bogotá,Feed visible,
88,Pistola Hidrogel M16,Juguetería,OH HOMIE,72,45000,65000,20000,0.3076923076923077,Activo,Exclusivo,Bogotá,Feed visible,
89,Camping Para 3 Personas Dt44,Camping,OH HOMIE,299,56250,90000,33750,0.375,Activo,Exclusivo,Bogotá,Feed visible,
90,Ventilador Para Vehiculo,Vehículos,OH HOMIE,296,32500,45000,12500,0.2777777777777778,Activo,Exclusivo,Bogotá,Feed visible,
91,Limpiador A Vapor Portatil,Hogar,OH HOMIE,167,95000,100000,5000,0.05,Activo,Exclusivo,Bogotá,Feed visible,
92,Organizador De Cuchillos,Cocina,OH HOMIE,300,20000,40000,20000,0.5,Activo,Exclusivo,Bogotá,Feed visible,
93,Pistola Hidrogel Ak47,Juguetería,OH HOMIE,294,45000,65000,20000,0.3076923076923077,Activo,Exclusivo,Bogotá,Feed visible,
94,Estante De Zapatos 10 Niveles Eco,Hogar,OH HOMIE,294,23000,55000,32000,0.5818181818181818,Activo,Exclusivo,Bogotá,Feed visible,
95,Masajeador Cuello Tapete Electrodos,Salud,OH HOMIE,217,15300,28000,12700,0.45357142857142857,Activo,Exclusivo,Bogotá,Feed visible,
96,Ventilador Recargable,Otro,OH HOMIE,100,23000,30000,7000,0.23333333333333334,Activo,Exclusivo,Bogotá,Feed visible,
97,Aire Acondicionado Portatil,Hogar,OH HOMIE,31,60000,70000,10000,0.14285714285714285,Activo,Exclusivo,Bogotá,Feed visible,
98,Afeitadora 3 En 1,Belleza,OH HOMIE,305,43000,67000,24000,0.3582089552238806,Activo,Exclusivo,Bogotá,Feed visible,
99,Estufa Electrica 2 Puestos,Cocina,OH HOMIE,143,36000,50000,14000,0.28,Activo,Exclusivo,Bogotá,Feed visible,
100,Intercomunicacion Bluetooth Casco,Tecnología,OH HOMIE,299,55000,65000,10000,0.15384615384615385,Activo,Exclusivo,Bogotá,Feed visible,
101,Cepillo Quita Pulgas Mascotas,Mascotas,OH HOMIE,26,17000,37000,20000,0.5405405405405406,Activo,Exclusivo,Bogotá,Feed visible,
102,Batidora Inmersion Scarlet Y13,Cocina,OH HOMIE,340,24000,35000,11000,0.3142857142857143,Activo,Exclusivo,Bogotá,Feed visible,
103,Licuadora Doble Vaso,Cocina,OH HOMIE,266,25000,35000,10000,0.2857142857142857,Activo,Exclusivo / Variable,Bogotá,Feed visible,
104,Cobija Luminosa Magica 160 X 120 Cm,Hogar,OH HOMIE,25,30000,86000,56000,0.6511627906976745,Activo,Exclusivo / Variable,Bogotá,Feed visible,
105,Carro Twisted,Otro,OH HOMIE,300,141250,161000,19750,0.12267080745341614,Activo,Exclusivo,Bogotá,Feed visible,
106,Lote De Cables Variados En Oferta,Tecnología,OH HOMIE,300,15000,30000,15000,0.5,Activo,Exclusivo,Bogotá,Feed visible,
107,Brasier Reafirmante Sin Varilla,Belleza,OH HOMIE,193,20000,32000,12000,0.375,Activo,Exclusivo / Variable,Bogotá,Feed visible,
108,Combo Picador 14pz Ritu Ajo Dis Aceite,Cocina,OH HOMIE,98,41000,60000,19000,0.31666666666666665,Activo,Exclusivo,Bogotá,Feed visible,
109,Audifonos Bt68,Tecnología,OH HOMIE,300,45600,60000,14400,0.24,Activo,Exclusivo,Bogotá,Feed visible,
110,Limpiador Magnetico Para Vidrios,Hogar,OH HOMIE,300,14000,25000,11000,0.44,Activo,Exclusivo,Bogotá,Feed visible,
111,Maquina Empacadora Al Vacio,Cocina,OH HOMIE,290,30000,59000,29000,0.4915254237288136,Activo,Exclusivo,Bogotá,Feed visible,
112,Soporte Bano Metalico 5 Piezas,Hogar,OH HOMIE,322,42000,74000,32000,0.43243243243243246,Activo,Exclusivo,Bogotá,Feed visible,
113,Joyero Organizador Pequeno Multicolor,Moda,OH HOMIE,285,14000,40000,26000,0.65,Activo,Exclusivo,Bogotá,Feed visible,
114,Maquina De Coser Portatil,Hogar,OH HOMIE,444,32300,52000,19700,0.37884615384615383,Activo,Exclusivo,Bogotá,Feed visible,
115,Mesa Pegable,Hogar,OH HOMIE,286,62000,81000,19000,0.2345679012345679,Activo,Exclusivo,Bogotá,Feed visible,
116,Set Bano Portatil Con Tapa,Aseo,OH HOMIE,296,17000,30000,13000,0.43333333333333335,Activo,Exclusivo,Bogotá,Feed visible,
117,Tendedero De Ropa Plegable En Aluminio,Hogar,OH HOMIE,280,48000,70000,22000,0.3142857142857143,Activo,Exclusivo,Bogotá,Feed visible,
118,Organizador Multifuncional Muor16,Hogar,OH HOMIE,148,47500,,,,Activo,Exclusivo / Variable,Bogotá,Feed visible,Precio sugerido no visible completo
119,Esquinero De Bano,Hogar,OH HOMIE,34,38000,59000,21000,0.3559322033898305,Activo,Exclusivo,Bogotá,Feed visible,
120,Camiseta Somatex Mujer,Ropa Deportiva,OH HOMIE,293,19000,30000,11000,0.36666666666666664,Activo,Exclusivo / Variable,Bogotá,Feed visible,
121,Tabla De Cortar,Cocina,OH HOMIE,165,32000,60000,28000,0.4666666666666667,Activo,Exclusivo,Bogotá,Feed visible,
122,Parches Dolor De Espalda,Bienestar,OH HOMIE,298,9000,18000,9000,0.5,Activo,Exclusivo,Bogotá,Feed visible,
123,Rollo De Hielo Masajeador,Belleza,OH HOMIE,27,15000,24000,9000,0.375,Activo,Exclusivo,Bogotá,Feed visible,
124,Dispensador De Jabon Para Platos,Cocina,OH HOMIE,298,25000,40000,15000,0.375,Activo,Exclusivo,Bogotá,Feed visible,
125,Aspiradora Antiacaro,Salud,OH HOMIE,336,29800,35000,5200,0.14857142857142858,Activo,Exclusivo,Bogotá,Feed visible,
126,Mochila Transportadora Mascotas Pd21,Mascotas,OH HOMIE,250,50000,95000,45000,0.47368421052631576,Activo,Exclusivo,Bogotá,Feed visible,
127,Cortadora De Pelo,Belleza,OH HOMIE,300,54000,79000,25000,0.31645569620253167,Activo,Exclusivo,Bogotá,Feed visible,
128,Reloj Inteligente T500,Tecnología,OH HOMIE,281,21000,31000,10000,0.3225806451612903,Activo,Exclusivo,Bogotá,Feed visible,
129,Organizador De Ropa Plegable X3,Hogar,OH HOMIE,300,12000,22000,10000,0.45454545454545453,Activo,Exclusivo,Bogotá,Feed visible,
