Inteligencia de Catálogo · Perfil supplier,
,
Campo,Dato visible / registrado
Proveedor investigado,RAMON CANO / PRENDAS CONTROL
Tipo preliminar,Mixto: marca propia + supplier normal
Estado visible,Premium
En Dropi desde,29/07/2022
Última conexión,Hoy
Bodega visible,Medellín
Productos reportados en perfil,221
Órdenes históricas,188692
Dropshippers,970
Tiempo de despacho,6 h
Calificación últimos 30 días,"Óptima: envía rápido, cumple y responde bien."
Despachos,Envía rápido y sin demoras
Cumplimiento,Pocos rechazos y cancelaciones
Postventa,Muy pocos reclamos y atención rápida
Fuente de levantamiento,Pantallazos del perfil del supplier y catálogo visible en plataforma Dropi
Fecha de levantamiento,2026-05-29
Productos capturados en feed público/manual,51
Productos no observados en feed,170
% capturado manualmente,0.23076923076923078
Nota metodológica actualizada,Caso raro/mixto: marca propia especializada en prendas de control + posible comportamiento de supplier para dropshipping. Requiere validar visibilidad pública/privada y origen de órdenes antes de decidir inclusión en benchmark principal.
