#,Producto visible,Categoría visible,Categoría final interpretada,Subcategoría interpretada,Tipo visible,Stock visible,Precio proveedor visible,Precio sugerido visible,Marca/Proveedor visible,Producto privado observable,Observación cruda
1,Combos Fajas Mirar La Descripcion 2502,Belleza,Belleza / Fajas,Combo fajas,Variable,4570,Variable,$ 0,PRENDAS CONTROL,No,Producto tipo combo; precio proveedor variable; precio sugerido 0 visible.
2,Leggins Bota Ancha263,Belleza,Moda / Ropa deportiva,Leggins,Variable,283,$ 25.000,Variable,PRENDAS CONTROL,No,Producto textil de control/deportivo; precio sugerido no visible como valor único.
3,Enterizo Deportivo Espalda Cubierta2612,Ropa Deportiva,Moda / Ropa deportiva,Enterizo deportivo,Variable,597,$ 40.000,Variable,PRENDAS CONTROL,Sí,Card azul de Prendas Control con candado / producto privado observado.
4,Leggins Deportivo2620,Ropa Deportiva,Moda / Ropa deportiva,Leggins,Variable,174,$ 20.000,Variable,PRENDAS CONTROL,No,Producto con precio proveedor visible y precio sugerido variable.
5,Shampoo2005,Belleza,Cuidado personal,Shampoo,Simple,819,$ 5.292,$ 5.292,PRENDAS CONTROL,No,Precio proveedor y sugerido iguales en card visible.
6,Combo Short Obsequio2524,Belleza,Belleza / Fajas,Combo short,Variable,599,$ 36.000,Variable,PRENDAS CONTROL,No,Combo con precio proveedor visible y precio sugerido variable.
7,Muñequera Negra2660,Bienestar,Bienestar / Compresión,Muñequera,Simple,39,$ 18.727,$ 18.727,PRENDAS CONTROL,No,Stock visible bajo vs otros productos de la muestra.
8,Short Tiro Alto2611,Belleza,Belleza / Fajas,Short de control,Variable,6818,$ 44.626,$ 75.000,PRENDAS CONTROL,No,Producto con stock alto y precio sugerido mayor al proveedor.
9,Faja Con Varilla2667,Belleza,Belleza / Fajas,Faja,Variable,4836,$ 85.860,$ 0,PRENDAS CONTROL,No,Precio sugerido 0 visible; revisar si aplica por variación.
10,Talonera2661,Bienestar,Bienestar / Ortopedia,Talonera,Variable,378,$ 18.953,$ 0,PRENDAS CONTROL,Sí,Card azul de Prendas Control / producto privado observado; precio sugerido 0.
11,Mantequilla Humectante2004,Belleza,Cuidado personal,Humectante,Variable,155,$ 10.692,$ 10.692,PRENDAS CONTROL,No,Precio proveedor y sugerido iguales en card visible.
12,Faja Tejida Con Tiras2672,Belleza,Belleza / Fajas,Faja,Variable,9567,$ 36.400,$ 35.000,PRENDAS CONTROL,No,Precio sugerido menor al proveedor visible; revisar dato.
13,Short Con Broche Tiro Alto2642,Belleza,Belleza / Fajas,Short de control,Variable,943,$ 47.684,$ 89.900,PRENDAS CONTROL,No,Producto con margen sugerido visible alto.
14,Panty Moldeador Talle Alto2694,Belleza,Belleza / Fajas,Panty moldeador,Variable,1034,$ 36.044,$ 0,PRENDAS CONTROL,No,Precio sugerido 0 visible; revisar configuración.
15,Body deportivo2616,Belleza,Moda / Ropa deportiva,Body deportivo,Variable,295,$ 23.000,Variable,PRENDAS CONTROL,No,Producto textil deportivo/control.
16,Body x3 Obsequio 2506,Belleza,Belleza / Fajas,Combo body,Variable,407,$ 70.200,$ 65,PRENDAS CONTROL,No,Precio sugerido visible parece inconsistente/cortado; revisar.
