Inteligencia de Catálogo · Supplier individual · TIENDA OSHOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datos visibles del perfil,,,KPIs visibles del supplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campo,Valor capturado,,Métrica,Valor,Fuente,Estado,Comentario,,,,,,,,,,,,,,,,,,,,,,,,
Nombre supplier,TIENDA OSHOP,,Productos visibles,672,Perfil supplier,Disponible,Capturado del pantallazo,,,,,,,,,,,,,,,,,,,,,,,,
Tipo / etiqueta visible,Exclusivo,,Órdenes históricas,401005,Perfil supplier,Disponible,Capturado del pantallazo,,,,,,,,,,,,,,,,,,,,,,,,
En Dropi desde,16/09/2022,,Dropshippers,4769,Perfil supplier,Disponible,Capturado del pantallazo,,,,,,,,,,,,,,,,,,,,,,,,
Última conexión,Hoy,,Tiempo despacho,5 h,Perfil supplier,Disponible,Capturado del pantallazo,,,,,,,,,,,,,,,,,,,,,,,,
Productos visibles en perfil,672,,Bodega,Bogotá,Perfil supplier,Disponible,Capturado del pantallazo,,,,,,,,,,,,,,,,,,,,,,,,
Productos base inicial,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diferencia perfil vs base,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Órdenes históricas,401005,,Avance muestra detalle producto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dropshippers,4769,,Métrica,Valor,Fuente,Estado,Comentario,,,,,,,,,,,,,,,,,,,,,,,,
Tiempo de despacho,5 h,,Productos detalle capturados,19,Detalle productos,Parcial,Muestra en curso / ampliada. Se registraron 19 productos de detalle.,,,,,,,,,,,,,,,,,,,,,,,,
Bodega visible,Bogotá,,Última actualización detalle,2026-05-28,Captura manual,Disponible,"Se agregaron los últimos 3 productos de detalle: Set Cepillo Secador 5en1 Voluminizador, Camara Mini Espia Wifi De Seguridad A9 y Combo Hidrolavadorasaspiradora Porta 2ba.",,,,,,,,,,,,,,,,,,,,,,,,
Calificación últimos 30 días,Óptima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Despachos,Envía rápido y sin demoras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumplimiento,Pocos rechazos y cancelaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postventa,Muy pocos reclamos y atención rápida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantallazo fuente,Captura de pantalla 2026-05-28 a las 2.16.14 p. m..png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estado de captura del proveedor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Componente,Estado,Detalle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perfil supplier,Capturado,Se cargó información visible del perfil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catálogo visible,Pendiente,Pendiente pantallazos de catálogo general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catálogo visible - muestra,Capturado,150 productos visibles extraídos de 5 pantallazos de muestra del catálogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categorías visibles en muestra,"Tecnología, Hogar, Belleza, Cocina, Salud, Juguetería, Herramientas, Mascotas",Ver hoja 05_Resumen_catalogo_muestra para distribución,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pendiente siguiente paso,Detalle 10 productos,"Revisar ficha individual para calidad de contenido, imágenes, descripción, stock privado y recursos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data faltante,Requiere BI / base de datos,"Órdenes por producto, GMV, conversión, productos privados, stock histórico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
