#,ID producto,Nombre producto,Categoría visible,Tipo producto,SKU,Precio proveedor,Precio sugerido,Diferencia precio,% diferencia sobre proveedor,Stock público,Stock privado,Bodega,Cantidad imágenes visibles,Tiene descripción,Descripción excede screenshot,Tipo descripción visible,Tiene beneficios visibles,Tiene modo de uso visible,Tiene especificaciones visibles,Tiene imágenes en descripción,Tiene garantías visibles,Tiene recursos adicionales visibles,Texto genérico repetido,Observación cruda,Pantallazo fuente,,Resumen automático muestra 19 productos,,,,
1,2101886,Organizador De Loza Triple Nivel,Cocina,Simple,00,54900,70000,15100,0.2750455373406193,591,0,"BOGOTA, CALDAS",4,Sí,No,Específica producto,Sí,No visible,Sí,No,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,"Descripción específica visible. Menciona uso, materiales, resistencia, optimización de espacio y diseño.",Captura 2026-05-28 2.26.05 p. m.,,Métrica,Fórmula / valor,,,
2,96790,Transmisor Carro Carg7 Usb Aux Bluetooth,Tecnología / Vehículos,Simple,transmisor (visible parcial),14900,19900,5000,0.33557046979865773,44,0,"BOGOTA, CALDAS",5,Sí,Sí,Específica producto + garantía,Sí,No visible,Sí,No,"Sí, sección visible","Pestaña visible, no abierta",No,Descripción extensa con características técnicas visibles. Se observa sección GARANTÍA.,Captura 2026-05-28 2.25.59 p. m.,,Productos capturados,19,,,
3,231315,Lampara Uv Led Para Unas Secado Rapido,Belleza / Tecnología,Variable,No visible,69900,79900,10000,0.1430615164520744,150,0,"BOGOTA, CALDAS",5,Sí,Sí,Específica producto,Sí,Sí,Sí,No,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,"Producto variable con 3 variantes visibles: Plateado, Rosado y Purpura. Cada variante con existencia 50.",Captura 2026-05-28 2.25.52 p. m.,,Promedio precio proveedor,50826.31578947369,,,
4,45243,Organizador De Ropa Y Zapatos Armario,Hogar,Simple,Organizador De RopA Y Zapatos Armario,59900,69900,10000,0.1669449081803005,191,0,"BOGOTA, CALDAS",4,Sí,Sí,Específica producto + garantía,Sí,No visible,Sí,No,"Sí, sección visible","Pestaña visible, no abierta",No,"Descripción específica visible. Menciona almacenamiento, material, características y notas. Se observa encabezado GARANTÍA.",Captura 2026-05-28 2.25.47 p. m.,,Promedio precio sugerido,62621.05263157895,,,
5,1857589,Batidora De Mano 7 Velocidades,Tecnología / Cocina,Simple,Batidora De Mano 7 Velocidades,25400,35400,10000,0.3937007874015748,42,0,"BOGOTA, CALDAS",4,Sí,Sí,Específica producto + garantía,Sí,No visible,Sí,No,"Sí, sección visible","Pestaña visible, no abierta",No,"Descripción específica visible. Menciona 7 velocidades, ganchos, potencia 260w, 110v y uso en cocina. Se observa sección GARANTÍA.",Captura 2026-05-28 2.25.38 p. m.,,Promedio % diferencia,0.2996702647850393,,,
6,152295,Camara De Seguridad Hd 1080p Espia,Tecnología,Simple,Cámara De Seguridad Hd 1080p Espia,75900,95900,20000,0.2635046113306983,28,0,"BOGOTA, CALDAS",2,Sí,Sí,Específica producto,Sí,No visible,Sí,No,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,"Descripción específica visible. Menciona visión nocturna, detección de movimiento, calidad de video, visualización remota, grabación en bucle y especificaciones técnicas.",Captura 2026-05-28 2.25.27 p. m.,,Productos con stock privado > 0,0,,,
7,60000,Camara 3 Antenas Inalambrica Wifi,Tecnología,Simple,Camara Robotica Inalambrica,41500,49900,8400,0.20240963855421687,13,0,"BOGOTA, CALDAS",5,Sí,Sí,Específica producto + garantía,Sí,No visible,Sí,No,"Sí, sección visible","Pestaña visible, no abierta",No,"Descripción específica visible. Menciona dimensiones, memoria, protocolo, sensor de imagen, formato de video, lente, resolución, ángulo, PTZ, WiFi, sensor de movimiento y garantía.",Captura 2026-05-28 2.25.22 p. m.,,Productos con descripción,19,,,
8,261998,Organizador De Loza Estante Escurridor,Cocina,Simple,Organizador De Loza Estante Escurridor,169900,180000,10100,0.0594467333725721,600,0,"BOGOTA, CALDAS",3,Sí,No,Específica producto,Sí,No visible,Sí,No,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,"Descripción específica visible. Menciona medidas 45cm x 6cm x 28cm, diseño ahorrador de espacio, puerta abatible, drenaje y capacidad de almacenamiento.",Captura 2026-05-28 2.25.17 p. m.,,Productos con descripción extensa,15,,,
9,1839246,Destor Inalambrico Juego Raches 40 pcs,Herramientas,Simple,Destornillador inalámbrico + Juego Raches x 40 Piezas,39000,50900,11900,0.30512820512820515,133,0,"BOGOTA, CALDAS",5,Sí,Sí,Específica producto,Sí,No visible,Sí,No,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,"Descripción específica visible. Menciona herramienta para el hogar, características, recarga, puntas y contenido de compra. El contenido excede el screenshot.",Captura 2026-05-28 2.25.12 p. m.,,Productos con texto genérico repetido,0,,,
10,1033282,Plancha Mini Viajera Cinta Levanta Bus,Belleza,Simple,Plancha Mini Viajera + Cinta Levanta Busto,15900,24900,9000,0.5660377358490566,99,0,"BOGOTA, CALDAS",5,Sí,Sí,Específica producto / combo,Sí,Sí,Sí,No,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,"Descripción específica visible. Incluye contenido para plancha mini viajera y cinta levanta busto. Se observan características, potencia, tamaño, voltaje y modo de empleo parcial.",Captura 2026-05-28 2.25.07 p. m.,,Productos simples,18,,,
11,1564427,Combo Mini Plancha Viajera Rizador,Belleza,Simple,Combo Mini Plancha Viajera + Rizador,24900,34900,10000,0.40160642570281124,197,0,"BOGOTA, CALDAS",5,Sí,Sí,Específica producto / combo,Sí,Sí,Sí,No,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,Descripción específica visible. Incluye contenido para plancha mini viajera y pinza rizadora. Se observan características técnicas y descripción de uso.,Captura 2026-05-28 2.25.00 p. m.,,Productos variables,1,,,
12,129064,Zapatero Cubierta 5 Niveles Con Perchero,Hogar,Simple,5563,35900,49900,14000,0.38997214484679665,289,0,"BOGOTA, CALDAS",4,Sí,No,Específica producto + garantía,Sí,No visible,Sí,No,"Sí, garantía estándar visible","Pestaña visible, no abierta",No,"Descripción específica visible. Menciona organización de espacio, capacidad, características del producto y garantía estándar.",Captura 2026-05-28 2.24.55 p. m.,,,,,,
13,152589,Rodillo De Masaje De Cuarzo Rosa,Belleza,Simple,Rodillo de masaje de cuarzo rosa,34900,44900,10000,0.28653295128939826,49,0,"BOGOTA, CALDAS",2,Sí,Sí,Específica producto + garantía,Sí,No visible,Sí,No,"Sí, sección visible","Pestaña visible, no abierta",No,"Descripción específica visible. Menciona masaje facial, cuarzo rosa, beneficios de masaje, rutina de cuidado y garantía.",Captura 2026-05-28 2.24.50 p. m.,,,,,,
14,1894210,Tv Stick Smart Tv Android,Tecnología,Simple,0003,49800,64900,15100,0.3032128514056225,160,0,"BOGOTA, CALDAS",4,Sí,No,Específica producto + garantía,Sí,No visible,Sí,No,"Sí, sección visible","Pestaña visible, no abierta",No,"Descripción específica visible. Menciona Android TV, HDMI, 4K HDR, WiFi, control remoto estándar, garantía de fábrica y garantía de devolución.",Captura 2026-05-28 2.24.44 p. m.,,,,,,
15,1355125,Combo Armario 3 Puestos Zapatero 6 Niv,Hogar,Simple,Combo Armario 3 Puestos + Zapatero 6 niveles,66900,79900,13000,0.19431988041853512,403,0,"BOGOTA, CALDAS",5,Sí,Sí,Específica producto / combo,Sí,No visible,Sí,No,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,"Descripción específica visible. Menciona armario de tela, zapatero, materiales, almacenamiento, diseño, montaje y estructura. El contenido excede el screenshot.",Captura 2026-05-28 2.24.38 p. m.,,,,,,
16,492024,Porta Comida Recipiente Hermetico,Cocina,Simple,Porta Comida Recipiente Hermetico,52900,59900,7000,0.1323251417769376,100,0,"BOGOTA, CALDAS",4,Sí,Sí,Específica producto + garantía,Sí,No visible,Sí,No,"Sí, sección visible","Pestaña visible, no abierta",No,"Descripción específica visible. Menciona recipientes plegables, usos, silicona, características, medidas, contenido del paquete y garantía.",Captura 2026-05-28 2.24.33 p. m.,,,,,,
17,1834307,Set Cepillo Secador 5en1 Voluminizador,Tecnología / Belleza,Simple,Set Cepillo Secador 5n 1 + Voluminizador,66900,89900,23000,0.34379671150971597,49,0,"BOGOTA, CALDAS",5,Sí,Sí,Específica producto,Sí,No visible,Sí,No,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,"Descripción específica visible. Menciona especificaciones: voltaje, potencia nominal, temperatura, longitud, material, niveles, contenido del paquete y descripción de uso. El contenido excede el screenshot.",Captura 2026-05-28 2.24.27 p. m.,,,,,,
18,190384,Camara Mini Espia Wifi De Seguridad A9,Tecnología / Otro,Simple,Cámara de seguridad Mini,11400,18900,7500,0.6578947368421053,451,0,"BOGOTA, CALDAS",4,Sí,Sí,Específica producto + garantía,Sí,No visible,Sí,No,"Sí, sección visible","Pestaña visible, no abierta",No,"Descripción específica visible. Menciona cámara A9, resolución 2MP, visión nocturna, seguridad del hogar o negocio y garantía. El contenido visible llega hasta sección GARANTÍA.",Captura 2026-05-28 2.24.21 p. m.,,,,,,
19,765003,Combo Hidrolavadorasaspiradora Porta 2ba,Tecnología / Hogar / Vehículos / Herramientas,Simple,Combo Hidrolavadora + Aspiradora Portatil,54900,69900,15000,0.273224043715847,760,0,"BOGOTA, CALDAS",5,Sí,Sí,Específica producto / combo,Sí,Sí,Sí,No,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,Descripción específica visible. Incluye nota logística: no se puede enviar por transportadora Coordinadora por volumen. Menciona hidrolavadora inalámbrica portátil y aspiradora portátil 2 en 1 recargable. El contenido excede el screenshot.,Captura 2026-05-28 2.24.03 p. m.,,,,,,
