#,Nombre producto visible,Categoría visible,Precio proveedor,Precio sugerido,Stock visible,Etiqueta visible,Tipo visible,Observación cruda,Pantallazo fuente,,,,,,,,,,,,,,,,,,,,,,
1,Aspiradora Portatil Vertical Mano,Hogar,40900,59900,176,Exclusivo,No visible,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
2,Dermapen Tratamiento De Acne Cicatrices,Tecnología,64900,85900,179,Exclusivo,No visible,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
3,Inflable Salvavidas Cola De Sirena,Juguetería,37900,47900,50,Exclusivo,No visible,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
4,Pelota Bola Inteligente Para Gatos Perro,Mascotas,13900,27800,72,Exclusivo,Variable,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
5,Organizador Multifuncional Rack Zapatero,Aseo,44900,49900,296,Exclusivo,No visible,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
6,Organizador De Ropa Y Zapatos Armario,Hogar,59900,69900,189,Exclusivo,No visible,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
7,Tablero Digital Magico Led 12 Pulgadas,Juguetería,17900,19900,208,Exclusivo,No visible,Variante visible: Blue,2.20.02,,,,,,,,,,,,,,,,,,,,,,
8,Kit Ejercitador Hand Grip Mano Muñeca,Deportes,16900,22900,78,Exclusivo,Variable,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
9,Combo Candado Moto Alarma De Discomanil,Tecnología,59900,69900,103,Exclusivo,No visible,Nombre visible parcial,2.20.02,,,,,,,,,,,,,,,,,,,,,,
10,Armario 3 Puestos Closete Tela Grande,Hogar,46900,69900,937,Exclusivo,Variable,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
11,Media compresion Anti Varices,Salud,12900,29900,180,Exclusivo,Variable,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
12,Escurridor De Platos Platero Ahorrador,Cocina,43900,54900,99,Exclusivo,No visible,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
13,Organizadorestanteria Metalico Completo,Hogar,43900,60900,89,Exclusivo,No visible,Nombre unido como se ve en pantalla,2.20.02,,,,,,,,,,,,,,,,,,,,,,
14,Ducha Recargable Portatil Regadera Campi,Hogar,29900,39900,20,Exclusivo,No visible,Nombre visible parcial,2.20.02,,,,,,,,,,,,,,,,,,,,,,
15,Cinta Silicona Anti Cicatriz,Belleza,16900,21900,1,Exclusivo,No visible,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
16,Tren Con Luces Y Humo,Hogar,89900,110000,28,Exclusivo,Variable,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
17,Pistola Masajeadora 4 En 1,Tecnología,21500,29900,1890,Exclusivo,No visible,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
18,Maquina Peluqueria Wahl Kit 9 Piezas,Tecnología,23900,29900,1983,Exclusivo,No visible,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
19,Juego De Mesa Bast Interactivo Palabras,Juguetería,13400,19900,189,Exclusivo,No visible,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
20,Lampara De Panel Solar Exteriores X2,Tecnología,24900,34900,5,Exclusivo,No visible,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
21,Zapatero Cubierta 5 Niveles Con Perchero,Hogar,35900,49900,49,Exclusivo,No visible,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
22,Linterna Frontal Luz Led Camping De Cabeza,Tecnología,17900,29900,94,Exclusivo,No visible,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
23,Maquina Molino Hacer Pasta Spaghetti,Cocina,58900,74900,38,Exclusivo,No visible,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
24,Combo proyector p30 Telon Dropi Cup,Tecnología,176900,195900,85,Exclusivo,No visible,Nombre visible parcial,2.20.02,,,,,,,,,,,,,,,,,,,,,,
25,Alta Frecuencia Portatil Facial,Tecnología,34900,49900,348,Exclusivo,No visible,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
26,Escurridor De Loza De Pared Metalico 2,Cocina,44900,60000,600,Exclusivo,No visible,Nombre visible parcial,2.20.02,,,,,,,,,,,,,,,,,,,,,,
27,Mini Waflera Redonda Antiadherente Perso,Cocina,20900,29900,172,Exclusivo,No visible,Nombre visible parcial,2.20.02,,,,,,,,,,,,,,,,,,,,,,
28,Consola De Video Juego Portatil Retro,Juguetería,59900,69900,150,Exclusivo,No visible,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
29,Microfono Inalambrico,Tecnología,30900,50900,46,Exclusivo,No visible,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
30,Candado Alarma Moto Bicicletas Seguridad,Tecnología,13900,19900,147,Exclusivo,No visible,,2.20.02,,,,,,,,,,,,,,,,,,,,,,
31,Filtro Purificador De Agua Domestico,Salud,17900,24900,51,Exclusivo,No visible,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
32,Dos Mini Camaras Espia Inalambricas,Tecnología,25800,45800,21,Exclusivo,No visible,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
33,Mesa Multifuncional Graduable Laptop T8,Tecnología,64900,64900,93,Exclusivo,No visible,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
34,Cinturon Colicos Masajeador Calor,Salud,19400,52900,167,Exclusivo,Variable,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
