Data faltante / no disponible en revisión manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dato requerido,Estado,Nivel,Por qué importa,Fuente requerida,Pregunta para BI/Data,,,,,,,,,,,,,,,,,,,,,,,,,,
Órdenes por producto,No disponible,Producto,Saber qué productos venden dentro del catálogo,BI / base de datos,¿Cuántas órdenes tiene cada producto del supplier?,,,,,,,,,,,,,,,,,,,,,,,,,,
GMV por producto,No disponible,Producto,"Entender valor generado, no solo cantidad de órdenes",BI / base de datos,¿Cuál es el GMV histórico por producto?,,,,,,,,,,,,,,,,,,,,,,,,,,
Productos con 0 órdenes,No disponible,Producto,Identificar catálogo cargado pero no productivo,BI / base de datos,¿Qué productos activos/visibles tienen 0 órdenes?,,,,,,,,,,,,,,,,,,,,,,,,,,
Fecha de creación del producto,No disponible,Producto,Medir antigüedad y tiempo a primera orden,BI / base de datos,¿Cuándo se creó cada producto?,,,,,,,,,,,,,,,,,,,,,,,,,,
Fecha de primera orden,No disponible,Producto,Calcular activación por producto,BI / base de datos,¿Cuándo ocurrió la primera orden por producto?,,,,,,,,,,,,,,,,,,,,,,,,,,
Fecha de última actualización,No disponible,Producto,Saber si el catálogo está vivo o abandonado,BI / base de datos,¿Cuándo se actualizó por última vez cada producto?,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock histórico,No disponible,Producto,Identificar quiebres de stock,Inventario / Data,¿Cuál ha sido el historial de stock por producto?,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotación de inventario,No disponible,Producto,Entender velocidad de salida del producto,Inventario + órdenes,¿Cuál es la rotación por SKU?,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancelaciones por producto,No disponible,Producto,Detectar problemas operativos o de cumplimiento,Operaciones / BI,¿Qué tasa de cancelación tiene cada producto?,,,,,,,,,,,,,,,,,,,,,,,,,,
Devoluciones / reclamos por producto,No disponible,Producto,Medir riesgo y satisfacción,Postventa / BI,¿Qué productos concentran devoluciones o reclamos?,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiempo real de despacho por producto,No disponible,Producto,"El perfil muestra despacho general, no por producto",Operaciones / BI,¿Cuál es el tiempo de despacho por producto?,,,,,,,,,,,,,,,,,,,,,,,,,,
Productos privados totales,No disponible,Supplier,No se puede ver catálogo privado completo,Backend / Data,¿Cuántos productos privados tiene el supplier?,,,,,,,,,,,,,,,,,,,,,,,,,,
Motivo de producto privado,No disponible,Producto,"Entender si es estrategia, exclusividad o configuración",Producto / Supplier Success,¿Por qué cada producto está privado?,,,,,,,,,,,,,,,,,,,,,,,,,,
Visitas / clics al producto,No disponible,Producto,Medir interés aunque no haya venta,Eventos / Analytics,¿Cuántas vistas/clics recibe cada producto?,,,,,,,,,,,,,,,,,,,,,,,,,,
Favoritos / guardados,No disponible,Producto,Señal temprana de interés de dropshippers,Eventos / Analytics,¿Cuántos dropshippers guardan cada producto?,,,,,,,,,,,,,,,,,,,,,,,,,,
Uso de botón enviar al cliente,No disponible,Producto,Medir intención comercial,Eventos / Analytics,¿Cuántas veces se envía cada producto al cliente?,,,,,,,,,,,,,,,,,,,,,,,,,,
Muestras solicitadas,No disponible,Producto,Señal de interés de dropshippers,Eventos / Analytics,¿Cuántas muestras se solicitan por producto?,,,,,,,,,,,,,,,,,,,,,,,,,,
Categoría real / subcategoría,Parcial,Producto,La categoría visible puede ser insuficiente,Catálogo / Data,¿Cuál es la taxonomía completa de cada producto?,,,,,,,,,,,,,,,,,,,,,,,,,,
Marca estructurada,No disponible,Producto,Permite análisis por marca,Catálogo / Data,¿Existe campo marca estructurado por producto?,,,,,,,,,,,,,,,,,,,,,,,,,,
Productos duplicados,No disponible,Producto,Detectar ruido de catálogo,Data / Matching,"¿Hay duplicados por nombre, imagen o SKU?",,,,,,,,,,,,,,,,,,,,,,,,,,
