Diccionario de campos para captura individual de supplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campo,Definición,Valores esperados,Fuente,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Productos visibles en perfil,Cantidad de productos mostrada en el perfil del supplier,Número,Perfil supplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Productos base inicial,Cantidad enviada en la base inicial de proveedores,Número,Base manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diferencia perfil vs base,Productos visibles en perfil menos productos base inicial,Número / fórmula,Calculado,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock público,Stock visible en el detalle del producto,Número,Detalle producto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock privado,Stock privado visible en detalle,Número,Detalle producto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantidad imágenes visibles,Número de miniaturas visibles en el detalle,Número,Detalle producto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiene descripción,Si el producto muestra texto en la pestaña Detalles,Sí / No / No visible / Parcial,Detalle producto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Descripción excede screenshot,Si el contenido continúa más allá del pantallazo,Sí / No,Detalle producto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tipo descripción visible,Clasificación del texto visible sin emitir juicio,Sin descripción / Genérica proveedor / Específica producto / Garantías / Mixta / No visible,Detalle producto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texto genérico repetido,Si aparece texto estándar reutilizado del proveedor,Sí / No / No visible,Detalle producto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observación cruda,Notas descriptivas sin análisis ni conclusión,Texto,Captura manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lectura PM,Interpretación posterior del proveedor con base en la data,Texto,Análisis individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
