Resumen muestra catálogo visible · TIENDA OSHOP,,,,,,,
Métrica,Valor,,Categoría visible,Cantidad en muestra,% muestra,,
Productos capturados en muestra,150,,Tecnología,34,0.22666666666666666,,
Categorías visibles distintas,18,,Hogar,31,0.20666666666666667,,
Productos con tipo Variable visible,22,,Belleza,19,0.12666666666666668,,
Productos con stock visible <= 5,7,,Cocina,15,0.1,,
Productos con stock no legible,6,,Salud,12,0.08,,
Precio proveedor promedio visible,39393,,Juguetería,8,0.05333333333333334,,
Precio sugerido promedio visible,52702,,Herramientas,5,0.03333333333333333,,
Stock total visible en muestra,33871,,Mascotas,4,0.02666666666666667,,
Etiqueta predominante visible,Exclusivo,,Deportes,4,0.02666666666666667,,
,,,Otro,4,0.02666666666666667,,
,,,Vehículos,3,0.02,,
Registro,Dato,,Ropa Deportiva,2,0.013333333333333334,,
Fuente,Pantallazos de catálogo visible enviados por el usuario,,Vaporizadores,2,0.013333333333333334,,
Alcance,"Muestra visual, no catálogo completo",,Bebé,2,0.013333333333333334,,
Data no disponible en esta captura,"Órdenes por producto, GMV por producto, vistas/clics, conversión, productos privados, rotación, devoluciones",,Bisutería,2,0.013333333333333334,,
Uso recomendado,Cruzar esta muestra con detalle de 10 productos y data transaccional cuando BI la entregue,,Aseo,1,0.006666666666666667,,
,,,Bienestar,1,0.006666666666666667,,
,,,Moda,1,0.006666666666666667,,
