Ficha supplier,TUCOLTIENDA,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Proyecto,Inteligencia de Catálogo · DAT-001,,Métrica calculada,Valor,Fórmula
Supplier,TUCOLTIENDA,,Órdenes por producto visible,404.7295321637427,404.7295321637427
Nombre asociado / referencia,Diego Kalach,,Órdenes por dropshipper,55.79101168883515,55.79101168883515
Estado visible,Verificado,,Dropshippers por producto,7.254385964912281,7.254385964912281
En Dropi desde,09/09/2022,,,,
Última conexión,Ayer,,,,
Productos visibles en perfil,684,,,,
Órdenes históricas visibles,276835,,,,
Dropshippers visibles,4962,,,,
Tiempo de despacho visible,5 h,,,,
Bodega visible,Bogotá,,,,
Calificación últimos 30 días,Óptima,,,,
Despachos,Envía rápido y sin demoras,,,,
Cumplimiento,Pocos rechazos y cancelaciones,,,,
Postventa,Muy pocos reclamos y atención rápida,,,,
Muestra catálogo capturada,180,,,,
Fuente,Pantallazos enviados por Jaime en conversación,,,,
Nota metodológica,Categoría final interpretada por nombre del producto. Precios y stock quedan para captura detallada o revisión por Data/BI cuando no fueron transcritos del pantallazo general.,,,,
Detalle productos registrados,19,,,,
