#,Producto visible,Categoría final,Subcategoría interpretada,Categoría visible plataforma,Etiqueta visible,Tipo visible,Stock visible,Precio proveedor,Precio sugerido,Fuente screenshot,Observación cruda
1,Cepillo Peine Mascota Autolimpiable,Mascotas,Cuidado mascotas,,Verificado,,,,,Captura 8.09.14,
2,Mini Linterna Llavero Camping Recargable,Tecnología,Iluminación / gadgets,,Verificado,,,,,Captura 8.09.14,
3,Rizador Plancha Agua Secador Cepillo,Belleza,Cuidado capilar,,Verificado,,,,,Captura 8.09.14,
4,Bingo Macro Utensilios Juego De Mesa,Juguetería,Juego de mesa,,Verificado,,,,,Captura 8.09.14,
5,Mini Batidor Espumador Portatil,Cocina,Preparación bebidas,,Verificado,,,,,Captura 8.09.14,
6,Zapatero Con Tapa 6 Niveles,Hogar,Organización,,Verificado,,,,,Captura 8.09.14,
7,Pillera Maquina Afeitar T99 Recargable,Belleza,Cuidado personal,,Verificado,,,,,Captura 8.09.14,
8,Juego De Cubiertos Huevo Dorado,Cocina,Utensilios,,Verificado,,,,,Captura 8.09.14,
9,Plancha Pequeña Viajera Para Cabello,Belleza,Cuidado capilar,,Verificado,,,,,Captura 8.09.14,
10,2 Pares De Protectores Gimnasia Pasiva,Bienestar,Gimnasia pasiva,,Verificado,,,,,Captura 8.09.14,
11,Cojin Cervical Terapeutico,Bienestar,Soporte cervical,,Verificado,,,,,Captura 8.09.14,
12,Molino Procesador Sokany,Cocina,Procesador / molino,,Verificado,,,,,Captura 8.09.14,
13,Compresor De Aire Llanta Balones,Herramientas,Compresor,,Verificado,,,,,Captura 8.09.14,
14,Combo X2 Almohadas Cervicales,Bienestar,Soporte cervical,,Verificado,,,,,Captura 8.09.14,
15,Maleta Antirrobo De Trinetas,Defensa Personal,Maleta / antirrobo,,Verificado,,,,,Captura 8.09.14,
16,Peluche Para Dormir Luces Y Movimiento,Juguetería,Peluche interactivo,,Verificado,,,,,Captura 8.09.14,
17,Termo Stanley Acero Inoxidable,Hogar,Termos,,Verificado,,,,,Captura 8.09.14,
18,Chocolatera Fundidora De Chocolate,Cocina,Fundidora,,Verificado,,,,,Captura 8.09.14,
