#,ID producto,Producto,SKU,Categoría final,Categoría visible plataforma,Tipo producto,Disponible en,Bodega,Precio proveedor,Precio sugerido,Diferencia precio,% margen sugerido sobre proveedor,Stock público,Stock privado,Cantidad imágenes visibles,Tiene descripción,Descripción excede screenshot,Tipo descripción,Beneficios visibles,Modo de uso visible,Especificaciones visibles,Garantías visibles,Recursos adicionales visibles,Texto genérico repetido,Texto mal renderizado / JSON,Observación cruda,Fuente screenshot
1,1853618.0,Destornilladorraches46mini Luz Llavero,sd,Tecnología,Tecnología,Simple,Bogotá,BOGOTA,47800.0,65000.0,17200.0,0.3598326359832636,239.0,0.0,1.0,Sí,No,Muy corta / nombre del producto,No visible,No visible,No visible,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,No,Detalle visible con descripción corta: 'Destornillador+raches46+mini luz llavero'.,Captura 2026-05-29 8.43.00 a.m.
2,922499.0,Secador De Pelo Nova,fa,Belleza,Belleza,Simple,Bogotá,BOGOTA,21900.0,28000.0,6100.0,0.2785388127853881,479.0,0.0,4.0,Sí,No,Específica producto,Sí,No visible,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,No,"Descripción visible con potencia, cuidado del cabello y referencia a 300W.",Captura 2026-05-29 8.42.54 a.m.
3,2082907.0,Rodillera Termica Rodillera Ortopedica,,Bienestar,Salud,Simple,Bogotá,BOGOTA,27900.0,37900.0,10000.0,0.35842293906810035,243.0,0.0,3.0,Sí,No,Muy corta / nombre del producto,No visible,No visible,No visible,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,No,Detalle visible con descripción corta: 'Rodillera Térmica Eléctrica + Rodillera'.,Captura 2026-05-29 8.42.50 a.m.
4,2027218.0,Kit X6 Moldes Silicona Para Airfyer,,Cocina,Cocina,Simple,Bogotá,BOGOTA,8900.0,12000.0,3100.0,0.34831460674157305,42.0,0.0,3.0,Sí,No,Muy corta / logística/color,No visible,No visible,No visible,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,No,Detalle visible con nota: 'el color se envia aleatorio'.,Captura 2026-05-29 8.42.45 a.m.
5,1846210.0,Repuesto De Filtro Purificador De Agua,wte,Hogar,Tecnología,Simple,Bogotá,BOGOTA,9900.0,15000.0,5100.0,0.5151515151515151,446.0,0.0,3.0,Sí,No,Específica producto,Sí,No visible,Sí,Sí,"Pestaña visible, no abierta",No,No,"Descripción visible con referencias funcionales, características, duración aproximada del filtro y garantía del vendedor de 1 mes.",Captura 2026-05-29 8.42.39 a.m.
6,872107.0,Combo Aguacate Sd06 Secador De Pelo,7h,Belleza,Belleza,Simple,Bogotá,BOGOTA,73900.0,90000.0,16100.0,0.2178619756427605,505.0,0.0,4.0,Sí,No,Específica producto / garantía,Sí,No visible,Sí,Sí,"Pestaña visible, no abierta",No,No,"Descripción incluye combo, restricción logística: no despachar por TC, garantía de 3 meses por defectos de fabricación y condiciones de devolución.",Captura 2026-05-29 8.42.35 a.m.
7,1932419.0,Parlante 8 25w Con Microfono,ZC,Tecnología,Tecnología,Simple,Bogotá,BOGOTA,49900.0,60000.0,10100.0,0.20240480961923848,69.0,0.0,3.0,Sí,No,Especificaciones en lista,Sí,No visible,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,No,"Descripción con lista de características: voltaje, bluetooth, karaoke, efectos de voz, batería recargable, potencia, micrófono y radio.",Captura 2026-05-29 8.42.27 a.m.
8,1649137.0,Hervidor De Huevos Mini Waflera,awd,Cocina,Cocina,Simple,Bogotá,BOGOTA,45900.0,65000.0,19100.0,0.41612200435729846,247.0,0.0,1.0,Sí,No,Muy corta / nombre del producto,No visible,No visible,No visible,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,No,Detalle visible con título descriptivo corto: 'HERVIDOR DE HUEVOS+ MINI WAFLERA'.,Captura 2026-05-29 8.42.23 a.m.
9,1007386.0,Cortador De Papas Potato Chipper,g5,Cocina,"Cocina, Hogar, Herramientas",Simple,Bogotá,BOGOTA,22900.0,30000.0,7100.0,0.31004366812227074,506.0,0.0,3.0,Sí,No,Específica producto / características cortas,Sí,Sí,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,No,Descripción visible de cortador para papa/zanahoria con modo de uso y mención de cuchillas incorporadas de 12mm y 9mm.,Captura 2026-05-29 8.42.19 a.m.
10,164161.0,Embutidor De Chorizos,daw,Cocina,Cocina,Simple,Bogotá,BOGOTA,19900.0,25000.0,5100.0,0.2562814070351759,184.0,0.0,3.0,Sí,No,Específica producto / materiales y uso,Sí,Sí,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",Sí,No,"Descripción visible con materiales PP y acero inoxidable 304, modo de uso, facilidad de limpieza y bloque comercial de mayorista.",Captura 2026-05-29 8.42.15 a.m.
